0.1	12.644	0.858
0.145	9.235	0.359
0.211	7.377	0.505
0.307	6.46	0.403
0.447	5.555	0.683
0.649	5.896	0.605
0.944	5.673	0.856
1.372	6.964	0.351
1.995	8.896	1.083
2.9	11.355	1.002


0.07	16.3868	17.2595	15.5142
0.12	10.6981	11.3759	10.0202
0.17	8.44455	9.06169	7.82741
0.22	7.28405	7.88315	6.68496
0.27	6.60934	7.20936	6.00933
0.32	6.19271	6.80372	5.58171
0.37	5.92953	6.55752	5.30155
0.42	5.765	6.41382	5.11618
0.47	5.66763	6.3399	4.99535
0.52	5.61805	6.31564	4.92045
0.57	5.60368	6.32797	4.87939
0.62	5.61601	6.36804	4.86398
0.67	5.64905	6.42963	4.86848
0.72	5.6985	6.50826	4.88874
0.77	5.76115	6.60062	4.92169
0.82	5.8346	6.70419	4.96501
0.87	5.91697	6.81703	5.01691
0.92	6.00682	6.93765	5.07599
0.97	6.10299	7.06482	5.14115
1.02	6.20454	7.1976	5.21148
1.07	6.31073	7.33519	5.28627
1.12	6.42093	7.47696	5.36491
1.17	6.53464	7.62235	5.44692
1.22	6.6514	7.77094	5.53187
1.27	6.77088	7.92233	5.61943
1.32	6.89275	8.07622	5.70929
1.37	7.01677	8.23233	5.8012
1.42	7.14269	8.39042	5.89495
1.47	7.27032	8.5503	5.99034
1.52	7.3995	8.71178	6.08723
1.57	7.53008	8.87472	6.18545
1.62	7.66193	9.03897	6.2849
1.67	7.79494	9.20442	6.38545
1.72	7.92899	9.37097	6.48702
1.77	8.06402	9.53852	6.58951
1.82	8.19993	9.70699	6.69286
1.87	8.33665	9.87631	6.79699
1.92	8.47412	10.0464	6.90184
1.97	8.61229	10.2172	7.00736
2.02	8.7511	10.3887	7.11349
2.07	8.8905	10.5608	7.22019
2.12	9.03046	10.7335	7.32743
2.17	9.17094	10.9067	7.43516
2.22	9.31189	11.0804	7.54336
2.27	9.45329	11.2546	7.65198
2.32	9.59511	11.4292	7.76101
2.37	9.73733	11.6042	7.87042
2.42	9.87991	11.7796	7.98018
2.47	10.0228	11.9554	8.09027
2.52	10.1661	12.1315	8.20068
2.57	10.3097	12.3079	8.31138
2.62	10.4535	12.4847	8.42236
2.67	10.5976	12.6617	8.5336
2.72	10.742	12.8389	8.64509
